group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,1,3.7,5,40,0.261999999999986,-0.0323399243752789
French,FR01,sync,1,3.7,6,40,0.248000000000005,-0.518923786530412
French,FR01,sync,1,3.7,7,40,0.236000000000004,-1.32253161931034
French,FR01,sync,1,3.7,8,40,0.286000000000001,-0.954113324423506
French,FR01,sync,1,3.7,9,40,0.283999999999992,-0.674022817669596
French,FR01,sync,1,3.7,10,40,0.236000000000004,-1.44564725235935
French,FR01,sync,1,3.7,11,40,0.278000000000006,-1.27054817281713
French,FR01,sync,1,3.7,12,40,0.23599999999999,-2.06334402600493
French,FR01,sync,1,3.7,13,40,0.25,-2.54109634563425
French,FR01,sync,1,3.7,14,40,0.225999999999999,2.71075896870158
French,FR01,sync,1,3.7,15,40,0.244,2.10212920543003
French,FR01,sync,1,3.7,16,40,0.268000000000001,2.20842141701505
French,FR01,sync,1,4,1,11.1111111111111,NaN,2.2063859019623
French,FR01,sync,1,4,2,11.1111111111111,0.254000000000005,2.29713254830468
French,FR01,sync,1,4,3,11.1111111111111,0.260000000000005,2.54438893829074
French,FR01,sync,1,4,4,11.1111111111111,0.231999999999999,2.08601752198358
French,FR01,sync,1,4,5,11.1111111111111,0.227999999999994,1.53064817786706
French,FR01,sync,1,4,6,11.1111111111111,0.238,1.22145122371554
French,FR01,sync,1,4,7,11.1111111111111,0.225999999999999,0.617277789762662
French,FR01,sync,1,4,8,11.1111111111111,0.224000000000004,-0.0451666675436959
French,FR01,sync,1,4,9,11.1111111111111,0.245999999999995,-0.145769899126762
French,FR01,sync,1,4,10,11.1111111111111,0.268000000000001,0.296329283072272
French,FR01,sync,1,4,11,11.1111111111111,0.27000000000001,0.793559775007765
French,FR01,sync,1,4,12,11.1111111111111,0.275999999999996,1.44146617358964
French,FR01,sync,1,4,13,11.1111111111111,0.24199999999999,1.23455557952568
French,FR01,sync,1,4,14,11.1111111111111,0.25800000000001,1.42753970179145
French,FR01,sync,1,4,15,11.1111111111111,0.271999999999991,2.12313465782905
French,FR01,sync,1,4.3,1,44.4444444444444,NaN,2.74686586578912
French,FR01,sync,1,4.3,2,44.4444444444444,0.25,-3.06602169628712
French,FR01,sync,1,4.3,3,44.4444444444444,0.228000000000009,3.08231732050333
French,FR01,sync,1,4.3,4,44.4444444444444,0.227999999999994,2.95234008409649
French,FR01,sync,1,4.3,5,44.4444444444444,0.228000000000009,2.82608506520378
French,FR01,sync,1,4.3,6,44.4444444444444,0.22399999999999,2.58338692029088
French,FR01,sync,1,4.3,7,44.4444444444444,0.228000000000009,2.45276537356809
French,FR01,sync,1,4.3,8,44.4444444444444,0.227999999999994,2.32450889905109
French,FR01,sync,1,4.3,9,44.4444444444444,0.224000000000004,2.08359925135008
French,FR01,sync,1,4.3,10,44.4444444444444,0.221999999999994,1.79365221150785
French,FR01,sync,1,4.3,11,44.4444444444444,0.219999999999999,1.44830920962394
French,FR01,sync,1,4.3,12,44.4444444444444,0.210000000000008,0.822604794738448
French,FR01,sync,1,4.3,13,44.4444444444444,0.225999999999999,0.653148988117636
French,FR01,sync,1,4.3,14,44.4444444444444,0.213999999999999,0.145618886947368
French,FR01,sync,1,4.3,15,44.4444444444444,0.218000000000004,-0.258878021239808
French,FR01,sync,1,4.6,1,100,NaN,-0.45083709288568
French,FR01,sync,1,4.6,2,100,0.227999999999994,-0.0818275295820978
French,FR01,sync,1,4.6,3,100,0.228000000000009,0.219449486831945
French,FR01,sync,1,4.6,4,100,0.203999999999994,-0.173249594867087
French,FR01,sync,1,4.6,5,100,0.213999999999999,-0.277199351787504
French,FR01,sync,1,4.6,6,100,0.212000000000003,-0.44426562778037
French,FR01,sync,1,4.6,7,100,0.207999999999998,-0.726980118186024
French,FR01,sync,1,4.6,8,100,0.215999999999994,-0.768779802994438
French,FR01,sync,1,4.6,9,100,0.213999999999999,-0.91152049620591
French,FR01,sync,1,4.6,10,100,0.226000000000013,-0.628900846316172
French,FR01,sync,1,4.6,11,100,0.217999999999989,-0.612148568530566
French,FR01,sync,1,4.6,12,100,0.212000000000003,-0.773848190406182
French,FR01,sync,1,4.6,13,100,0.219999999999999,-0.709671067753221
French,FR01,sync,1,4.6,14,100,0.225999999999999,-0.473114045168844
French,FR01,sync,1,4.6,15,100,0.222000000000008,-0.341037656967254
French,FR01,sync,1,4.9,1,0,NaN,0.184618569260915
French,FR01,sync,1,4.9,2,0,0.239999999999995,1.28617603251751
French,FR01,sync,1,4.9,3,0,0.230000000000004,2.06386456154198
French,FR01,sync,1,4.9,4,0,0.228000000000009,2.77945832800388
French,FR01,sync,1,4.9,5,0,0.221999999999994,-2.92886459363126
French,FR01,sync,1,4.9,6,0,0.213999999999999,-2.62158368350491
French,FR01,sync,1,4.9,7,0,0.225999999999999,-1.95080288185698
French,FR01,sync,1,4.9,8,0,0.221999999999994,-1.4363312715832
French,FR01,sync,1,4.9,9,0,0.214000000000013,-1.11934698877887
French,FR01,sync,1,4.9,10,0,0.209999999999994,-0.930157824886221
French,FR01,sync,1,4.9,11,0,0.209999999999994,-0.750782181661026
French,FR01,sync,1,4.9,12,0,0.220000000000013,-0.264619949273571
French,FR01,sync,1,4.9,13,0,0.213999999999999,0.0246641228936815
French,FR01,sync,1,4.9,14,0,0.217999999999989,0.489344650091854
French,FR01,sync,1,5.2,1,0,NaN,1.38321421092591
French,FR01,sync,1,5.2,2,0,0.202000000000012,1.68811721427343
French,FR01,sync,1,5.2,3,0,0.207999999999998,2.1880115154941
French,FR01,sync,1,5.2,4,0,0.207999999999998,2.69186258492248
French,FR01,sync,1,5.2,5,0,0.209999999999994,-3.0307895931935
French,FR01,sync,1,5.2,6,0,0.246000000000009,-1.28148212300417
French,FR01,sync,1,5.2,7,0,0.209999999999994,-0.716960979035177
French,FR01,sync,1,5.2,8,0,0.201999999999998,-0.411049506077372
French,FR01,sync,1,5.2,9,0,0.207999999999998,0.0912495791497037
French,FR01,sync,1,5.2,10,0,0.198000000000008,0.261255106327944
French,FR01,sync,1,5.2,11,0,0.203999999999994,0.639410342786611
French,FR01,sync,1,5.2,12,0,0.201999999999998,0.944105564291124
French,FR01,sync,1,5.2,13,0,0.218000000000004,1.76530700617956
French,FR01,sync,1,5.2,14,0,0.195999999999998,1.9954291799724
French,FR01,sync,1,5.5,1,0,NaN,2.68588910383815
French,FR01,sync,1,5.5,2,0,0.216000000000008,-2.43619671275069
French,FR01,sync,1,5.5,3,0,0.207999999999998,-1.54141949780094
French,FR01,sync,1,5.5,4,0,0.209999999999994,-0.566799994707235
French,FR01,sync,1,5.5,5,0,0.207999999999998,0.318311149922938
French,FR01,sync,1,5.5,6,0,0.208000000000013,1.22901866448135
French,FR01,sync,1,5.5,7,0,0.203999999999994,1.98852458073367
French,FR01,sync,1,5.5,8,0,0.201999999999998,2.67898450459975
French,FR01,sync,1,5.5,9,0,0.198000000000008,-3.05183286348695
French,FR01,sync,1,5.5,10,0,0.195999999999998,-2.56851091678098
French,FR01,sync,1,5.5,11,0,0.194000000000003,-2.15423496246143
French,FR01,sync,1,5.5,12,0,0.193999999999988,-1.75488746257493
French,FR01,sync,1,5.5,13,0,0.200000000000003,-1.12224478474458
French,FR01,sync,1,5.8,1,0,NaN,-0.0364031593691791
French,FR01,sync,1,5.8,2,0,0.201999999999998,1.01810873033018
French,FR01,sync,1,5.8,3,0,0.197999999999993,1.94340382756916
French,FR01,sync,1,5.8,4,0,0.188000000000002,2.51037195875757
French,FR01,sync,1,5.8,5,0,0.200000000000003,-2.77629118224195
French,FR01,sync,1,5.8,6,0,0.213999999999999,-1.26536370769597
